Transmit Power,Stations Receiving,Frequency,Spreading Factor,Bandwidth,Coding Rate,Satellite,Station List
63,1,437.25,10,62.5,5,SATLLA-2B,GroundStation_RIOJA-
63,1,437.25,10,62.5,5,SATLLA-2B,EA3GKP_Taucho-
63,1,437.25,10,62.5,5,SATLLA-2B,EA3GKP_Taucho-
63,2,437.25,10,62.5,5,SATLLA-2B,EA3GKP_Taucho-EA8DHL-
63,1,437.25,10,62.5,5,SATLLA-2B,AlbertJenks-
63,1,437.25,10,62.5,5,SATLLA-2B,JL_ESL_01-
63,3,437.25,10,62.5,5,SATLLA-2B,JL_ESL_01-ALKBBS3-VK2GTH_TinyGS_433MHz-
63,4,437.25,10,62.5,5,SATLLA-2B,JL_ESL_01-ALKBBS1-ALKBBS3-Rakino-
63,1,437.25,10,62.5,5,SATLLA-2B,OX3HI_1-
63,8,437.25,10,62.5,5,SATLLA-2B,GroundStation_RIOJA-Matilda-2E0TXE-m0wuk1-GM1MSS-G8JFX-Schampi_LILYGO-EA5WA_QFH_LNA-
63,23,437.25,10,62.5,5,SATLLA-2B,F21467-M7BOR_TinyGS_433MHz-CGNBA1-onl6739-PLIW-LX2MT_1-the_hara-m0wuk1-Matilda-Schampi_LILYGO-F4IXVqfh435b-PD7HW_01-GM1MSS-M0GLU_433_ant_test-DG1GMY-HB9CRE_2-ON7XX-wrkpTinyGS-G8JFX-Pembs01-G8TNU-DE_72116_433-EA1AWV-
63,29,437.25,10,62.5,5,SATLLA-2B,PLIW-PD7HW_01-SatFeld_70-Mikrowelle_2-M0WVE_433b_moxon-Matilda-Schampi_LILYGO-DH6SC_11-DO9BK-NORSAYT_2-M0GLU-DG1GMY-EA4LE_TGS1-EA1JK-F21467-LX2MT_1-WISeKey-GroundStation_RIOJA-EA1AWV-DK3WN-EA5CYA-EA3GKP_PdA-EA5WA_QFH_LNA-OE6ISP_2-JulseyGS-Burguillos_GS2-GS_IDELEC-DG4SN-F62766-
63,21,437.25,10,62.5,5,SATLLA-2B,DH6SC_11-F1CXG-HB9BB-IU3POA_2-PA3GCO-LX2MT_1-DK2DB_2-F8CND_TBeam_430M_1-EA1JK-GroundStation_RIOJA-EB2GKK_433_TinyGS-JD6RO-Black_GS1-OE6ISP_2-KoZo_GS3_433MHz-DF2JP-EA1IW-DK3WN-F62766-AtiStation-DO6GZ_GroundStation_433-
63,7,437.25,10,62.5,5,SATLLA-2B,Schampi_LILYGO-EA4LE_TGS1-EA5CYA-Burguillos_GS2-GroundStation_RIOJA-DK3WN-Barrili2-
63,6,437.25,10,62.5,5,SATLLA-2B,EB2GKK_433_TinyGS-F21467-EA5WA_QFH_LNA-PrydwenGS-AtiStation-Barrili2-
63,2,437.25,10,62.5,5,SATLLA-2B,ES_MA29631-GroundStation_RIOJA-
63,2,437.25,10,62.5,5,SATLLA-2B,GM1MSS-SM5RBJ_4-
63,13,437.25,10,62.5,5,SATLLA-2B,ES8TJM_GS-Schampi_LILYGO-TinyGS_OE3RQF_433MHz-jgromes_FOSSA_1W-NSO_Kloda-Brysac_GS01-DC3YC_PG-PD7HW_01-PD0PHA_uhf-Brysac_GS02-DK3WN-DE_72116_433-OE6ISP_2-
63,6,437.25,10,62.5,5,SATLLA-2B,R2FAL_GS-OE6ISP_2-IZ7BOJ-AtiStation-PrydwenGS_b-SPORADIC_RC3W-
63,9,437.25,10,62.5,5,SATLLA-2B,Schampi_LILYGO-OE6EUR13-HB9HEY-HA3GB-NSO_Kloda-HA7BN_Vac-IOJAABRO-TA2VG-IV3IHD_E32-
63,3,437.25,10,62.5,5,SATLLA-2B,RTFD090H-RTJ14H-AB9XC-
63,4,437.25,10,62.5,5,SATLLA-2B,TingGS_dsplice1-RTFD090H-KG0D2_Eggbeater-KG0D_3-
63,1,437.25,10,62.5,5,SATLLA-2B,ES8TJM_GS-
63,1,437.25,10,62.5,5,SATLLA-2B,SPORADIC_RC3W-
63,1,437.25,10,62.5,5,SATLLA-2B,WB5SVE_433-
63,3,437.25,10,62.5,5,SATLLA-2B,WB5SVE_433-K0VVV-WB5SVE_433_2-
63,2,437.25,10,62.5,5,SATLLA-2B,TingGS_dsplice1-KE0JTS-
63,2,437.25,10,62.5,5,SATLLA-2B,ve3gtc_TinyGS-TingGS_dsplice1-
63,2,437.25,10,62.5,5,SATLLA-2B,RTFD090H-TingGS_dsplice1-
63,1,437.25,10,62.5,5,SATLLA-2B,WB5SVE_433-
63,2,437.25,10,62.5,5,SATLLA-2B,Kingston_WA_433-K9JM_tinyGS-
63,2,437.25,10,62.5,5,SATLLA-2B,K9JM_tinyGS-SSF_TinyGS_01-
63,1,437.25,10,62.5,5,SATLLA-2B,WB5SVE_433-
63,2,437.25,10,62.5,5,SATLLA-2B,WB5SVE_433-k5qxj_1-
63,1,437.25,10,62.5,5,SATLLA-2B,OX3HI_1-
63,1,437.25,10,62.5,5,SATLLA-2B,JL_ESL_01-
63,2,437.25,10,62.5,5,SATLLA-2B,Kalvin_Leon-EA1AWV-
63,2,437.25,10,62.5,5,SATLLA-2B,EA5WA_QFH_LNA-Not_Goonhilly-
63,1,437.25,10,62.5,5,SATLLA-2B,OX3HI_1-
63,3,437.25,10,62.5,5,SATLLA-2B,OX3HI_1-PLIW-wrkpTinyGS-
63,4,437.25,10,62.5,5,SATLLA-2B,ALKBBS1-MacChat433-Gladesville_AU_Tiny_GS_2-VK2GTH_TinyGS_433MHz-
63,1,437.25,10,62.5,5,SATLLA-2B,JL_ESL_01-
63,1,437.25,10,62.5,5,SATLLA-2B,EA3GKP_Taucho-
63,4,437.25,10,62.5,5,SATLLA-2B,EA4LE_TGS1-EA3GKP_Taucho-TXC_CS7AWJ-Burguillos_GS2-
63,7,437.25,10,62.5,5,SATLLA-2B,F1CXG-EA4LE_TGS1-PrydwenGS-EA7VN-Burguillos_GS2-EA3GKP_Taucho-GroundStation_RIOJA-
